Date,Index_name,Close,Volume,Daily_Return_,Volatility
2020-05-05,NIFTY BANK,19271.53,381300,-4.35,5.02
2020-05-06,NIFTY BANK,19694.32,395600,2.03,4.48
2020-05-07,NIFTY BANK,19491.57,300100,-0.23,2.18
2020-05-08,NIFTY BANK,19352.68,0,-2.47,3.45
2020-05-11,NIFTY BANK,18950.28,342600,-3.37,4.25
2020-05-12,NIFTY BANK,18862.63,395400,0.59,3.77
2020-05-13,NIFTY BANK,19634.72,520800,-1.91,3.46
2020-05-14,NIFTY BANK,19068.28,333000,-0.67,1.85
2020-05-15,NIFTY BANK,18833.73,240600,-1.39,2.28
2020-05-18,NIFTY BANK,17572.99,434800,-6.50,6.82
2020-05-19,NIFTY BANK,17486.05,415500,-3.05,4.35
2020-05-20,NIFTY BANK,17839.99,326200,2.02,3.4
2020-05-21,NIFTY BANK,17734.89,347600,-0.93,3.03
2020-05-22,NIFTY BANK,17278.7,484800,-1.57,4.83
2020-05-26,NIFTY BANK,17440.15,336800,-0.55,2.11
2020-05-27,NIFTY BANK,18710.33,538000,6.29,7.46
2020-05-28,NIFTY BANK,19169.58,561100,1.30,3.36
2020-05-29,NIFTY BANK,19297.03,581700,1.77,3.31
2020-06-01,NIFTY BANK,19959.67,558100,1.17,3.0
2020-06-02,NIFTY BANK,20529.96,448300,2.04,3.79
2020-06-03,NIFTY BANK,20940.46,616900,-0.12,3.8
2020-06-04,NIFTY BANK,20390.21,587900,-2.59,3.94
2020-06-05,NIFTY BANK,21034.26,637400,2.53,3.77
2020-06-08,NIFTY BANK,21187.1,748100,-2.07,4.14
2020-06-09,NIFTY BANK,20724.66,641200,-2.68,4.41
2020-06-10,NIFTY BANK,21099.85,583000,1.63,2.79
2020-06-11,NIFTY BANK,20524.91,747100,-2.65,3.73
2020-06-12,NIFTY BANK,20654.31,599200,5.76,6.26
2020-06-15,NIFTY BANK,19912.67,0,-2.66,3.57
2020-06-16,NIFTY BANK,20296.46,0,-0.99,5.52
2020-06-17,NIFTY BANK,20201.52,0,0.32,3.23
2020-06-18,NIFTY BANK,20956.06,0,4.07,4.96
2020-06-19,NIFTY BANK,21337.85,0,1.75,2.81
2020-06-22,NIFTY BANK,21708.1,664600,1.01,3.04
2020-06-23,NIFTY BANK,22264.64,527900,1.86,3.09
2020-06-24,NIFTY BANK,21426.55,684600,-4.68,5.09
2020-06-25,NIFTY BANK,21505.9,586200,1.36,3.66
2020-06-26,NIFTY BANK,21591.8,375600,-0.66,2.14
2020-06-29,NIFTY BANK,21358.75,328000,0.32,1.94
2020-06-30,NIFTY BANK,21369.9,292700,-0.72,2.04
2020-07-01,NIFTY BANK,21977.34,386000,2.92,3.65
2020-07-02,NIFTY BANK,21952.94,399000,-0.82,2.05
2020-07-03,NIFTY BANK,21852.15,256200,-1.13,1.64
2020-07-06,NIFTY BANK,22198.69,290900,-0.32,1.02
2020-07-07,NIFTY BANK,22627.74,455800,1.68,2.85
2020-07-08,NIFTY BANK,22584.39,673100,-0.51,2.56
2020-07-09,NIFTY BANK,22906.93,356000,0.68,1.43
2020-07-10,NIFTY BANK,22398.19,457100,-1.42,2.27
2020-07-13,NIFTY BANK,22088.99,293700,-2.32,2.99
2020-07-14,NIFTY BANK,21391.95,338500,-2.22,3.14
2020-07-15,NIFTY BANK,21340.5,359100,-1.36,3.26
2020-07-16,NIFTY BANK,21596.9,348600,0.67,3.0
2020-07-17,NIFTY BANK,21966.54,294900,1.66,2.38
2020-07-20,NIFTY BANK,22321.59,349700,0.07,1.49
2020-07-21,NIFTY BANK,22781.73,316700,0.63,1.17
2020-07-22,NIFTY BANK,22882.33,412700,-1.19,2.39
2020-07-23,NIFTY BANK,23083.63,307600,1.00,1.7
2020-07-24,NIFTY BANK,22661.79,436300,-0.84,1.91
2020-07-27,NIFTY BANK,21848.5,340900,-3.60,3.82
2020-07-28,NIFTY BANK,22104.94,379800,0.75,2.83
2020-07-29,NIFTY BANK,22076.34,400400,0.01,1.99
2020-07-30,NIFTY BANK,21646.6,299600,-2.47,3.03
2020-07-31,NIFTY BANK,21639.8,397300,-0.42,1.99
2020-08-03,NIFTY BANK,21071.86,431000,-2.19,2.38
2020-08-04,NIFTY BANK,21490.25,0,1.14,2.44
2020-08-05,NIFTY BANK,21509.7,338800,-0.82,2.25
2020-08-06,NIFTY BANK,21642.35,386600,-0.01,2.57
2020-08-07,NIFTY BANK,21753.75,378600,0.62,1.55
2020-08-10,NIFTY BANK,21900.0,261800,0.35,1.27
2020-08-11,NIFTY BANK,22226.94,377900,0.80,1.08
2020-08-12,NIFTY BANK,22263.74,507500,0.58,1.52
2020-08-13,NIFTY BANK,22196.09,289100,-0.89,1.34
2020-08-14,NIFTY BANK,21679.15,318800,-2.94,3.92
2020-08-17,NIFTY BANK,21700.6,263400,-0.94,2.31
2020-08-18,NIFTY BANK,22170.34,0,2.16,2.76
2020-08-19,NIFTY BANK,22285.64,0,-0.13,0.83
2020-08-20,NIFTY BANK,21999.19,0,0.04,0.88
2020-08-21,NIFTY BANK,22299.34,0,0.49,0.81
2020-08-24,NIFTY BANK,22832.73,0,1.77,2.17
2020-08-25,NIFTY BANK,23091.88,0,0.52,1.4
2020-08-26,NIFTY BANK,23413.93,0,1.03,1.55
2020-08-27,NIFTY BANK,23600.08,0,0.38,1.02
2020-08-28,NIFTY BANK,24523.52,0,3.76,4.28
2020-08-31,NIFTY BANK,23754.07,0,-5.13,7.38
2020-09-01,NIFTY BANK,23811.72,0,-0.34,3.04
2020-09-02,NIFTY BANK,23874.27,0,0.44,1.87
2020-09-03,NIFTY BANK,23530.58,0,-1.90,2.5
2020-09-04,NIFTY BANK,23011.23,0,-0.47,2.24
2020-09-07,NIFTY BANK,22944.78,245300,-0.40,1.71
2020-09-08,NIFTY BANK,22744.14,0,-0.99,1.84
2020-09-09,NIFTY BANK,22266.74,0,-0.98,2.11
2020-09-10,NIFTY BANK,22465.94,0,0.00,2.02
2020-09-11,NIFTY BANK,22479.69,0,-0.13,2.06
2020-09-14,NIFTY BANK,22100.99,0,-2.57,3.21
2020-09-15,NIFTY BANK,22465.39,0,1.18,2.03
2020-09-16,NIFTY BANK,22573.29,0,0.43,1.97
2020-09-17,NIFTY BANK,22320.09,0,-0.14,1.06
2020-09-18,NIFTY BANK,22030.79,0,-1.82,3.05
2020-09-21,NIFTY BANK,21366.55,0,-2.80,3.75
2020-09-22,NIFTY BANK,21138.85,0,-1.43,2.4
2020-09-23,NIFTY BANK,21178.25,0,-0.81,2.55
2020-09-24,NIFTY BANK,20456.61,0,-2.11,2.64
2020-09-25,NIFTY BANK,20982.11,0,1.16,3.05
2020-09-28,NIFTY BANK,21665.25,0,2.43,3.09
2020-09-29,NIFTY BANK,21411.05,0,-1.65,2.44
2020-09-30,NIFTY BANK,21451.55,0,0.22,1.97
2020-10-01,NIFTY BANK,22245.74,0,2.59,2.9
2020-10-05,NIFTY BANK,22370.69,0,0.08,2.33
2020-10-06,NIFTY BANK,22853.43,0,0.80,1.64
2020-10-07,NIFTY BANK,22964.53,0,0.56,1.88
2020-10-08,NIFTY BANK,23191.08,0,0.18,1.67
2020-10-09,NIFTY BANK,23846.52,0,2.29,3.31
2020-10-12,NIFTY BANK,23712.53,0,-1.01,2.66
2020-10-13,NIFTY BANK,23491.93,0,-0.72,1.45
2020-10-14,NIFTY BANK,23874.37,0,2.23,3.48
2020-10-15,NIFTY BANK,23072.13,0,-3.54,4.67
2020-10-16,NIFTY BANK,23532.98,0,1.35,2.14
2020-10-19,NIFTY BANK,24266.47,0,1.52,2.37
2020-10-20,NIFTY BANK,24311.52,0,0.81,1.54
2020-10-21,NIFTY BANK,24634.76,0,0.78,2.96
